Marea,Planta,Embarcacion,Bodega,% Llenado,TDC-Desc,TVN,año,temporada_año,# Calas
144157,CHIMBOTE,MI JUAN,Tradicional,97.0,5.0,16.84,2019,2019-I,1
144176,CHIMBOTE,ROSA MARIA MS 1,Tradicional,97.0,5.0,21.01,2019,2019-I,1
144155,CHIMBOTE,MI JESUS SANTOS,Tradicional,97.0,5.0,18.74,2019,2019-I,1
144175,CHIMBOTE,DON TOMAS,Tradicional,39.0,6.0,19.46,2019,2019-I,1
144172,CHIMBOTE,MACABI 5,Tradicional,88.0,11.0,30.47,2019,2019-I,3
144168,CHIMBOTE,MODESTO 7,Tradicional,93.0,12.0,26.12,2019,2019-I,4
144215,CHIMBOTE,MACABI 10,Tradicional,87.0,12.0,26.26,2019,2019-I,3
144215,CHIMBOTE,MACABI 10,Tradicional,11.0,13.0,26.26,2019,2019-I,3
144169,CHIMBOTE,MODESTO,Tradicional,41.0,15.0,24.19,2019,2019-I,2
144173,SAMANCO,MACABI 9,Tradicional,90.0,12.0,22.95,2019,2019-I,3
144171,SAMANCO,MACABI 1,Tradicional,71.0,10.0,22.09,2019,2019-I,2
144133,SUPE,TASA 310,Tradicional,32.0,6.0,15.94,2019,2019-I,2
144135,SUPE,TASA 314,Tradicional,77.0,6.0,18.52,2019,2019-I,2
144142,SUPE,TASA 21,Tradicional,42.0,5.0,20.27,2019,2019-I,1
144128,SUPE,TASA 61,Frio,44.0,15.0,15.98,2019,2019-I,3
144129,SUPE,TASA 42,Frio,52.0,13.0,17.13,2019,2019-I,3
144131,SUPE,TASA 38,Tradicional,54.0,9.0,19.89,2019,2019-I,2
144132,SUPE,TASA 58,Frio,52.0,15.0,16.28,2019,2019-I,4
144160,VEGUETA,TASA 41,Frio,30.0,13.0,19.93,2019,2019-I,2
144161,VEGUETA,TASA 419,Frio,42.0,13.0,19.46,2019,2019-I,3
144122,VEGUETA,TASA 55,Frio,26.0,18.0,20.24,2019,2019-I,4
144162,VEGUETA,TASA 52,Frio,37.0,12.0,19.25,2019,2019-I,3
144156,VEGUETA,TASA 53,Frio,57.99999999999999,13.0,18.18,2019,2019-I,4
144139,VEGUETA,TASA 51,Frio,50.0,13.0,18.01,2019,2019-I,4
144146,VEGUETA,TASA 218,Tradicional,20.0,11.0,21.37,2019,2019-I,2
144130,VEGUETA,TASA 210,Tradicional,49.0,11.0,21.44,2019,2019-I,3
144152,VEGUETA,TASA 35,Tradicional,28.000000000000004,10.0,23.83,2019,2019-I,1
144145,VEGUETA,TASA 22,Tradicional,11.0,5.0,17.15,2019,2019-I,1
144177,VEGUETA,SANTA ROSA,Tradicional,32.0,8.0,18.25,2019,2019-I,1
144148,VEGUETA,TASA 57,Frio,50.0,7.0,16.69,2019,2019-I,3
144120,VEGUETA,TASA 59,Frio,47.0,8.0,16.78,2019,2019-I,3
144153,VEGUETA,NUEVA ESPERANZA,Tradicional,82.0,5.0,19.78,2019,2019-I,1
144166,CALLAO,TASA 17,Tradicional,32.0,6.0,19.64,2019,2019-I,1
144138,CALLAO,TASA 427,Frio,23.0,10.0,17.67,2019,2019-I,1
144154,CALLAO,TASA 315,Tradicional,43.0,12.0,18.01,2019,2019-I,3
144137,CALLAO,TASA 37,Tradicional,59.0,11.0,21.11,2019,2019-I,2
144121,CALLAO,TASA 34,Tradicional,17.0,12.0,22.15,2019,2019-I,3
144165,CALLAO,TASA 426,Tradicional,56.00000000000001,13.0,19.47,2019,2019-I,3
144164,CALLAO,TASA 36,Tradicional,13.0,13.0,21.92,2019,2019-I,2
144150,CALLAO,TASA 220,Tradicional,64.0,14.0,24.45,2019,2019-I,2
144136,CALLAO,TASA 32,Tradicional,44.0,14.0,23.92,2019,2019-I,3
144151,CALLAO,TASA 424,Tradicional,35.0,16.0,22.51,2019,2019-I,3
144167,CALLAO,TASA 31,Tradicional,45.0,15.0,23.97,2019,2019-I,3
144143,CALLAO,TASA 111,Tradicional,41.0,16.0,26.24,2019,2019-I,2
144134,CALLAO,TASA 71,Frio,54.0,14.0,19.92,2019,2019-I,4
144163,CALLAO,TASA 23,Tradicional,4.0,13.0,23.89,2019,2019-I,1
144140,CALLAO,TASA 56,Frio,60.0,19.0,16.67,2019,2019-I,5
144126,PISCO NORTE,TASA 45,Frio,79.0,7.0,22.79,2019,2019-I,2
144147,PISCO NORTE,TASA 418,Tradicional,11.0,7.0,20.08,2019,2019-I,1
144149,PISCO NORTE,TASA 417,Tradicional,51.0,9.0,18.12,2019,2019-I,2
144127,PISCO NORTE,TASA 54,Frio,44.0,13.0,22.26,2019,2019-I,2
144124,PISCO SUR,TASA 412,Tradicional,74.0,11.0,23.89,2019,2019-I,2
144125,PISCO SUR,TASA 413,Tradicional,89.0,11.0,22.78,2019,2019-I,4
144158,PISCO SUR,TASA 415,Tradicional,17.0,7.0,20.56,2019,2019-I,1
144141,PISCO SUR,TASA 414,Tradicional,15.0,9.0,21.14,2019,2019-I,2
144159,PISCO SUR,TASA 43,Frio,16.0,12.0,15.51,2019,2019-I,2
144123,PISCO SUR,TASA 44,Frio,25.0,12.0,16.99,2019,2019-I,2
144144,PISCO SUR,TASA 425,Frio,68.0,13.0,21.48,2019,2019-I,3
144179,MALABRIGO,TASA 59,Frio,72.0,14.0,21.14,2019,2019-I,3
144224,CHIMBOTE,MI JESUS SANTOS,Tradicional,96.0,5.0,20.18,2019,2019-I,1
144252,CHIMBOTE,ROSA MARIA MS 4,Tradicional,99.0,6.0,20.39,2019,2019-I,1
144223,CHIMBOTE,ROSA MARIA MS 1,Tradicional,143.0,6.0,18.57,2019,2019-I,1
144225,CHIMBOTE,MI JUAN,Tradicional,101.0,7.0,19.82,2019,2019-I,2
144242,CHIMBOTE,PALMAR-2,Tradicional,93.0,6.0,22.09,2019,2019-I,1
144222,CHIMBOTE,DON TOMAS,Tradicional,86.0,8.0,24.12,2019,2019-I,2
144181,CHIMBOTE,MACABI 9,Tradicional,47.0,9.0,19.92,2019,2019-I,1
144228,CHIMBOTE,MI JOSE LUIS N 2,Tradicional,97.0,10.0,20.31,2019,2019-I,2
144250,CHIMBOTE,CARLOS Y EDUARDO,Tradicional,95.0,13.0,26.5,2019,2019-I,2
144226,CHIMBOTE,CRISTO TE AMA YE,Tradicional,97.0,11.0,25.1,2019,2019-I,3
144254,CHIMBOTE,MI JOSUE,Tradicional,100.0,13.0,26.84,2019,2019-I,3
144229,CHIMBOTE,GUIAME MADRE MIA,Tradicional,96.0,12.0,25.25,2019,2019-I,3
144180,CHIMBOTE,MACABI 1,Tradicional,94.0,14.0,24.42,2019,2019-I,3
144208,CHIMBOTE,TASA 52,Frio,65.0,20.0,21.67,2019,2019-I,4
144217,CHIMBOTE,TASA 55,Frio,68.0,20.0,16.0,2019,2019-I,3
144240,SAMANCO,TASA 56,Frio,64.0,15.0,18.49,2019,2019-I,2
144195,SAMANCO,TASA 53,Frio,71.0,17.0,18.31,2019,2019-I,2
144218,SAMANCO,MACABI 10,Tradicional,99.0,11.0,20.28,2019,2019-I,3
144219,SAMANCO,MACABI 5,Tradicional,88.0,11.0,22.87,2019,2019-I,3
144206,SUPE,TASA 31,Tradicional,69.0,17.0,21.93,2019,2019-I,3
144202,SUPE,TASA 220,Tradicional,63.0,16.0,20.42,2019,2019-I,3
144185,SUPE,TASA 315,Tradicional,60.0,15.0,17.25,2019,2019-I,4
144248,SUPE,TASA 38,Tradicional,90.0,13.0,17.27,2019,2019-I,3
144239,SUPE,TASA 58,Frio,57.99999999999999,11.0,14.8,2019,2019-I,3
144237,SUPE,TASA 310,Tradicional,46.0,12.0,22.17,2019,2019-I,3
144251,VEGUETA,TASA 61,Frio,54.0,18.0,16.06,2019,2019-I,4
144212,VEGUETA,TASA 111,Tradicional,50.0,17.0,29.37,2019,2019-I,3
144204,VEGUETA,TASA 32,Tradicional,77.0,17.0,28.37,2019,2019-I,4
144186,VEGUETA,SANTA ROSA,Tradicional,65.0,14.0,25.24,2019,2019-I,3
144234,VEGUETA,TEO,Tradicional,57.99999999999999,12.0,21.97,2019,2019-I,2
144235,VEGUETA,JAVIER,Tradicional,74.0,10.0,24.62,2019,2019-I,2
144207,VEGUETA,TASA 35,Tradicional,93.0,13.0,27.79,2019,2019-I,4
144243,VEGUETA,TASA 21,Tradicional,91.0,10.0,19.35,2019,2019-I,2
144203,VEGUETA,TASA 22,Tradicional,79.0,9.0,20.89,2019,2019-I,2
144184,VEGUETA,NUEVA ESPERANZA,Tradicional,100.0,4.0,22.29,2019,2019-I,1
144193,VEGUETA,TASA 210,Tradicional,90.0,7.0,19.27,2019,2019-I,2
144194,VEGUETA,TASA 218,Tradicional,88.0,7.0,20.59,2019,2019-I,1
144209,CALLAO,TASA 41,Frio,62.0,23.0,19.38,2019,2019-I,7
144205,CALLAO,TASA 424,Tradicional,48.0,17.0,24.67,2019,2019-I,3
144210,CALLAO,TASA 23,Tradicional,55.00000000000001,15.0,22.94,2019,2019-I,3
144213,CALLAO,TASA 419,Frio,63.0,16.0,17.7,2019,2019-I,4
144197,CALLAO,TASA 37,Tradicional,73.0,15.0,23.33,2019,2019-I,3
144178,CALLAO,TASA 57,Frio,46.0,17.0,19.08,2019,2019-I,3
144182,CALLAO,TASA 427,Frio,61.0,13.0,19.15,2019,2019-I,3
144196,CALLAO,TASA 36,Tradicional,93.0,12.0,19.9,2019,2019-I,3
144200,CALLAO,TASA 426,Tradicional,52.0,9.0,19.34,2019,2019-I,2
144183,CALLAO,TASA 34,Tradicional,78.0,9.0,19.87,2019,2019-I,2
144201,CALLAO,TASA 51,Frio,63.0,22.0,15.19,2019,2019-I,4
144241,PISCO NORTE,MODESTO 3,Tradicional,75.0,4.0,20.47,2019,2019-I,1
144238,PISCO NORTE,HUACHO 9,Tradicional,13.0,7.0,19.2,2019,2019-I,1
144232,PISCO NORTE,ZORRITOS 2,Tradicional,13.0,8.0,25.12,2019,2019-I,1
144191,PISCO NORTE,TASA 413,Tradicional,20.0,12.0,26.09,2019,2019-I,2
144198,PISCO NORTE,TASA 414,Tradicional,32.0,13.0,25.72,2019,2019-I,3
144244,PISCO NORTE,MODESTO 6,Tradicional,63.0,10.0,22.54,2019,2019-I,1
144199,PISCO NORTE,TASA 43,Frio,31.0,17.0,21.23,2019,2019-I,2
144211,PISCO NORTE,TASA 44,Frio,27.0,18.0,25.21,2019,2019-I,2
144189,PISCO SUR,TASA 418,Tradicional,24.0,10.0,20.42,2019,2019-I,1
144190,PISCO SUR,TASA 412,Tradicional,31.0,9.0,22.54,2019,2019-I,2
144214,PISCO SUR,TASA 425,Frio,22.0,7.0,20.3,2019,2019-I,1
144192,PISCO SUR,TASA 415,Tradicional,15.0,13.0,24.51,2019,2019-I,2
144187,PISCO SUR,TASA 45,Frio,26.0,13.0,20.57,2019,2019-I,2
144188,PISCO SUR,TASA 417,Tradicional,73.0,14.0,24.28,2019,2019-I,3
144216,PISCO SUR,TASA 54,Frio,40.0,12.0,19.15,2019,2019-I,3
144297,MALABRIGO,TASA 59,Frio,25.0,8.0,22.93,2019,2019-I,3
144300,MALABRIGO,TASA 53,Frio,30.0,14.0,17.345,2019,2019-I,1
144246,CHIMBOTE,TASA 42,Frio,60.0,25.0,21.31,2019,2019-I,4
144267,CHIMBOTE,MI JUAN,Tradicional,96.0,6.0,19.36,2019,2019-I,1
144324,CHIMBOTE,MODESTO 7,Tradicional,70.0,5.0,20.52,2019,2019-I,1
144286,CHIMBOTE,CARLOS Y EDUARDO,Tradicional,45.0,7.0,23.49,2019,2019-I,2
144286,CHIMBOTE,CARLOS Y EDUARDO,Tradicional,49.0,14.0,23.49,2019,2019-I,2
144278,CHIMBOTE,CRISTO TE AMA YE,Tradicional,94.0,8.0,20.32,2019,2019-I,1
144292,CHIMBOTE,PALMAR-2,Tradicional,94.0,9.0,21.09,2019,2019-I,1
144268,CHIMBOTE,MI JESUS SANTOS,Tradicional,96.0,9.0,20.56,2019,2019-I,1
144321,CHIMBOTE,MI BERTITA,Tradicional,88.0,10.0,22.03,2019,2019-I,1
144301,CHIMBOTE,MACABI 10,Tradicional,89.0,10.0,24.86,2019,2019-I,1
144322,CHIMBOTE,TERESA,Tradicional,84.0,13.0,22.81,2019,2019-I,1
144271,CHIMBOTE,ROSA MARIA MS 1,Tradicional,136.0,15.0,25.6,2019,2019-I,1
144270,CHIMBOTE,ROSA MARIA MS 4,Tradicional,93.0,16.0,26.16,2019,2019-I,2
144280,CHIMBOTE,MI JOSUE,Tradicional,37.0,16.0,25.4,2019,2019-I,1
144310,CHIMBOTE,MODESTO,Tradicional,24.0,17.0,24.86,2019,2019-I,1
144335,CHIMBOTE,DON TOMAS,Tradicional,50.0,18.0,25.3,2019,2019-I,1
