Marea,Planta,Bodega,# Calas,TDC-Desc,TVN,año,temporada_año
155354,CHIMBOTE,Tradicional,3,11,20.2,2020,2020-I
155352,CHIMBOTE,Tradicional,3,9,22.1,2020,2020-I
155353,CHIMBOTE,Tradicional,3,12,23.2,2020,2020-I
155361,CHIMBOTE,Tradicional,3,18,27.6,2020,2020-I
155365,CHIMBOTE,Frio,3,18,19.6,2020,2020-I
155372,CHIMBOTE,Tradicional,3,17,22.4,2020,2020-I
155362,CHIMBOTE,Frio,2,14,18.6,2020,2020-I
155363,CHIMBOTE,Frio,4,12,19.7,2020,2020-I
155373,CHIMBOTE,Tradicional,2,11,23.9,2020,2020-I
155383,CHIMBOTE,Tradicional,2,7,22.7,2020,2020-I
155368,CHIMBOTE,Frio,2,6,22.0,2020,2020-I
155355,CHIMBOTE,Frio,1,6,22.9,2020,2020-I
155395,CHIMBOTE,Frio,1,16,19.1,2020,2020-I
155396,CHIMBOTE,Frio,4,14,19.2,2020,2020-I
155390,CHIMBOTE,Frio,1,9,22.0,2020,2020-I
155357,CHIMBOTE,Tradicional,1,10,20.2,2020,2020-I
155364,CHIMBOTE,Frio,4,23,17.4,2020,2020-I
155407,CHIMBOTE,Frio,1,7,18.7,2020,2020-I
155404,CHIMBOTE,Frio,4,21,18.2,2020,2020-I
155405,CHIMBOTE,Frio,3,22,20.5,2020,2020-I
155408,CHIMBOTE,Frio,5,12,20.6,2020,2020-I
155413,CHIMBOTE,Frio,4,13,22.0,2020,2020-I
155415,CHIMBOTE,Frio,3,13,16.8,2020,2020-I
155435,CHIMBOTE,Tradicional,2,17,32.7,2020,2020-I
155436,CHIMBOTE,Tradicional,3,19,27.8,2020,2020-I
155429,CHIMBOTE,Tradicional,4,19,28.8,2020,2020-I
155421,CHIMBOTE,Tradicional,2,19,35.2,2020,2020-I
155411,CHIMBOTE,Tradicional,2,15,28.7,2020,2020-I
155431,CHIMBOTE,Tradicional,1,11,29.1,2020,2020-I
155412,CHIMBOTE,Tradicional,2,15,26.2,2020,2020-I
155410,CHIMBOTE,Tradicional,2,15,25.4,2020,2020-I
155409,CHIMBOTE,Tradicional,2,12,19.9,2020,2020-I
155422,CHIMBOTE,Tradicional,3,13,22.4,2020,2020-I
155438,CHIMBOTE,Tradicional,2,9,19.8,2020,2020-I
155414,CHIMBOTE,Frio,3,31,19.8,2020,2020-I
155432,CHIMBOTE,Frio,4,10,19.2,2020,2020-I
155428,CHIMBOTE,Tradicional,2,7,18.2,2020,2020-I
155443,CHIMBOTE,Frio,4,16,22.4,2020,2020-I
155427,CHIMBOTE,Frio,3,39,23.1,2020,2020-I
155459,CHIMBOTE,Tradicional,1,10,20.2,2020,2020-I
155457,CHIMBOTE,Tradicional,2,9,22.5,2020,2020-I
155458,CHIMBOTE,Tradicional,2,8,20.2,2020,2020-I
155449,CHIMBOTE,Frio,3,10,21.4,2020,2020-I
155442,CHIMBOTE,Tradicional,1,7,23.9,2020,2020-I
155451,CHIMBOTE,Tradicional,2,6,22.6,2020,2020-I
155452,CHIMBOTE,Tradicional,1,4,24.5,2020,2020-I
155462,CHIMBOTE,Frio,4,22,21.4,2020,2020-I
155476,CHIMBOTE,Tradicional,3,20,21.3,2020,2020-I
155453,CHIMBOTE,Frio,5,21,21.5,2020,2020-I
155475,CHIMBOTE,Tradicional,3,18,22.8,2020,2020-I
155472,CHIMBOTE,Tradicional,2,16,24.0,2020,2020-I
155473,CHIMBOTE,Tradicional,3,17,24.4,2020,2020-I
