Marea,Planta,Embarcacion,Bodega,% Llenado,# Calas,TDC-Desc,TVN,año,temporada_año
127891,SUPE,TASA 414,Estanca,11,3,17.15,23.69,2018,2018-II
127892,SUPE,TASA 413,Tradicional,31,2,10.32,16.63,2018,2018-II
127893,SUPE,TASA 417,Tradicional,8,2,10.85,18.11,2018,2018-II
127894,VEGUETA,TASA 416,Tradicional,53,2,13.12,24.25,2018,2018-II
127895,SUPE,TASA 418,Tradicional,16,2,14.42,18.93,2018,2018-II
127896,VEGUETA,TASA 44,Frio,89,1,11.33,20.26,2018,2018-II
127897,VEGUETA,TASA 45,Frio,23,2,16.23,23.93,2018,2018-II
127898,SUPE,TASA 412,Tradicional,13,2,16.07,22.79,2018,2018-II
127899,SUPE,TASA 415,Estanca,46,2,11.82,20.42,2018,2018-II
127901,SUPE,TASA 420,Tradicional,9,2,12.9,17.06,2018,2018-II
127902,VEGUETA,TASA 315,Tradicional,29,2,14.85,29.22,2018,2018-II
127903,VEGUETA,TASA 424,Tradicional,27,3,21.02,29.24,2018,2018-II
127904,SUPE,TASA 314,Tradicional,11,1,11.62,16.79,2018,2018-II
127907,SUPE,TASA 310,Tradicional,34,1,8.78,19.26,2018,2018-II
127908,MALABRIGO,TASA 53,Frio,34,5,36.53,21.36,2018,2018-II
127909,MALABRIGO,TASA 55,Frio,26,4,36.58,22.74,2018,2018-II
127928,CHIMBOTE,TASA 210,Tradicional,70,2,24.63,38.4,2018,2018-II
127929,MALABRIGO,TASA 17,Tradicional,57,2,19.12,25.28,2018,2018-II
127938,VEGUETA,TASA 43,Frio,29,3,14.85,23.64,2018,2018-II
127963,SUPE,TASA 31,Tradicional,40,2,16.12,18.59,2018,2018-II
127978,MALABRIGO,TASA 21,Estanca,19,1,10.22,16.43,2018,2018-II
127979,MALABRIGO,TASA 38,Tradicional,74,1,15.08,19.21,2018,2018-II
127980,SUPE,TASA 34,Estanca,11,1,13.15,18.26,2018,2018-II
127982,MALABRIGO,TASA 22,Estanca,17,2,8.17,17.48,2018,2018-II
127983,CHIMBOTE,TASA 52,Frio,51,3,16.27,18.11,2018,2018-II
127984,SUPE,TASA 32,Tradicional,3,1,14.3,24.57,2018,2018-II
127985,CHIMBOTE,TASA 411,Tradicional,50,3,21.55,33.62,2018,2018-II
127986,MALABRIGO,TASA 426,Tradicional,34,2,20.22,22.65,2018,2018-II
127987,MALABRIGO,TASA 54,Frio,36,4,34.25,20.97,2018,2018-II
127988,MALABRIGO,TASA 61,Frio,17,2,19.78,26.71,2018,2018-II
127989,SAMANCO,TASA 42,Frio,64,3,21.85,15.29,2018,2018-II
127990,SAMANCO,TASA 427,Frio,60,2,16.7,20.97,2018,2018-II
127991,CHIMBOTE,TASA 59,Frio,46,3,17.28,25.6,2018,2018-II
127993,CHIMBOTE,TASA 36,Estanca,59,2,20.23,30.83,2018,2018-II
127994,MALABRIGO,TASA 37,Estanca,60,1,17.47,21.84,2018,2018-II
127995,MALABRIGO,TASA 111,Tradicional,52,3,23.28,32.16,2018,2018-II
127996,CHIMBOTE,TASA 220,Tradicional,97,2,23.08,27.86,2018,2018-II
128000,MALABRIGO,TASA 425,Frio,34,1,18.3,26.65,2018,2018-II
128001,MALABRIGO,TASA 57,Frio,26,2,34.8,30.4,2018,2018-II
128002,MALABRIGO,TASA 71,Frio,40,5,33.75,26.78,2018,2018-II
128012,CHIMBOTE,TASA 58,Frio,16,3,45.17,18.33,2018,2018-II
