marea_id,number_of_calas,total_catch
146180,3,90
146844,2,60
148172,6,550
144637,2,60
147554,2,100
144614,3,140
147700,1,35
144683,3,210
146011,4,300
144760,2,220
145347,3,120
146675,2,30
144660,3,110
144783,3,340
145988,2,120
145324,2,420
146326,3,130
145447,1,30
146990,1,10
144806,2,110
144142,1,10
148713,6,300
146134,2,120
147631,3,165
145639,1,10
145470,2,15
146303,3,370
146721,2,30
148049,3,70
144952,2,60
147362,1,0
145616,1,40
146821,4,380
145493,3,390
146157,1,30
146280,3,68
146034,3,60
146698,3,300
148026,1,70
144265,1,170
145593,5,400
144514,1,5
145842,3,210
148510,2,30
144906,2,110
146529,2,25
148072,2,120
144219,3,290
144468,2,200
148464,3,80
145155,2,110
147823,6,400
145009,2,150
144322,1,150
144176,1,119
147259,1,15
147757,4,210
144199,2,150
145908,2,380
146406,4,65
145244,1,310
144391,2,190
148633,1,30
146383,7,510
144368,2,110
145032,2,40
145573,2,310
144909,2,270
147282,2,100
146618,1,70
144932,1,20
146426,3,170
145175,1,120
147090,2,380
146924,6,420
145785,2,130
148613,1,0
146449,3,130
146283,3,65
148490,1,25
147949,3,360
145052,1,380
145716,2,300
145885,1,105
147216,2,70
146306,3,300
146549,1,30
144534,5,195
145075,2,330
147239,2,300
146575,2,90
147780,2,140
145344,2,70
144242,1,105
144703,2,300
144740,1,50
147408,3,410
145865,3,80
148533,1,25
146718,2,180
145473,3,120
147800,2,40
144491,1,70
147159,3,240
145536,3,230
146114,2,90
146077,1,100
148092,2,80
145281,2,35
147992,2,70
146014,3,300
146346,2,75
147365,1,10
148029,4,260
144308,3,85
145304,1,100
145636,6,340
146300,1,25
146632,1,30
145327,3,240
147319,4,300
146323,3,250
146177,1,20
144849,1,20
146841,2,90
144826,1,20
144162,3,33
144285,3,220
145613,1,50
146154,3,100
146824,1,80
144634,2,240
144139,4,44
148052,3,35
144657,1,45
148075,1,50
144680,4,240
144763,1,30
146091,1,15
148012,4,170
144371,2,100
145072,2,380
145367,3,70
147574,6,420
147906,2,130
145805,3,160
147714,1,30
147382,1,30
146386,1,75
147860,1,15
144179,3,400
145264,1,55
147428,2,320
145845,1,90
148507,1,5
147173,2,60
144617,1,70
145951,2,130
147279,5,310
145158,1,130
146492,3,80
147820,6,290
148115,2,35
144225,2,85
147471,2,80
145931,2,80
146927,3,150
144912,3,200
144531,3,80
147236,3,380
144222,2,105
144723,2,90
146715,2,70
144700,1,70
146237,1,70
146950,2,50
147946,4,240
146260,4,240
147926,1,10
147777,2,70
145888,1,50
145221,2,50
148467,3,160
146970,2,50
145911,1,20
148444,1,30
146452,1,110
146993,2,35
147903,3,80
148616,2,45
146174,1,25
144551,2,120
146472,2,70
146801,1,60
147883,2,180
147797,2,45
144159,2,30
144786,2,20
145782,2,50
147405,2,130
145868,3,70
146409,2,60
148487,2,60
146864,2,300
144594,3,280
145092,1,30
147256,1,150
147299,2,80
146217,1,15
144202,3,150
145825,3,370
147448,2,80
146366,3,120
145284,1,95
148530,1,50
146907,2,120
147989,1,30
145848,4,360
147176,4,110
146512,2,140
146535,1,100
147199,2,30
147863,2,70
144305,2,100
144969,2,40
145633,1,90
147222,5,240
147886,2,90
144946,1,20
144282,3,240
148573,1,40
148032,4,170
144182,3,290
145510,2,170
147763,4,400
144574,1,25
146197,3,70
147076,3,60
144136,3,36
147468,2,30
144823,3,95
144428,1,20
144766,3,60
145015,3,135
148009,3,250
146094,1,10
146930,1,80
145115,2,60
145994,2,95
147322,1,80
145656,1,85
144720,2,20
144474,2,100
145307,2,45
145556,4,330
145802,1,60
146389,4,90
146635,1,20
146884,8,350
144620,3,270
145948,2,120
145161,1,380
146489,1,30
145407,5,100
146243,2,65
147425,4,380
146761,2,40
144697,2,330
145410,1,20
147402,3,140
146904,2,90
144554,1,25
145387,3,85
146051,2,100
144577,4,130
148278,1,25
147614,1,10
144677,2,200
148447,2,60
144385,2,90
148470,1,20
144348,2,370
144597,1,15
145095,3,130
147929,2,80
146363,3,200
148570,3,80
146861,2,390
146469,3,140
146555,3,60
146804,1,250
144454,3,330
144405,1,50
147196,1,90
145487,2,85
147737,4,270
147345,3,70
145430,2,70
145928,3,260
147843,1,50
144156,4,44
145822,4,300
145779,1,45
147445,1,50
146320,2,120
148484,1,20
147943,3,570
147986,1,50
144889,3,130
147302,4,370
145138,3,120
145971,4,120
146220,1,40
147053,1,20
148135,3,170
144448,2,330
146071,1,70
144989,3,300
146612,1,120
145530,1,160
147153,3,160
146678,2,90
147010,1,60
148006,3,255
